ISO.code,Year,imp_sum,loans_sum,avg_nim,corp_avg,households_avg,policy_avg,Country,GDP_per_capita,DFR,MLF,MRO,Inflation
IT,2018,229.006179,1865520332.5395,-0.469037927272727,1.47833333333333,5.62166666666667,0,Italy,31010.83,-0.4,0.25,0,1.2
IT,2019,176.292395,1871050447.62501,-0.533500327272727,1.40166666666667,5.62833333333333,0,Italy,31899.75,-0.42876712300000003,0.25,0,0.6
IT,2020,110.27709,2239588624.29838,-0.156064254545455,1.37,5.27666666666667,0,Italy,29934.02,-0.5,0.25,0,-0.1
IT,2021,86.423628,2098388118.25936,0.036525618181818,1.33916666666667,5.21666666666667,0,Italy,33403.48,-0.5,0.25,0,1.9
IT,2022,83.539543,1993676127.38013,0.0532462909090906,1.98833333333333,5.77583333333333,0.578767123287669,Italy,36946.15,0.078767123,0.828767123,0.578767123,8.7
IT,2023,63.251384,2026276837.55896,0.604914436363636,4.66416666666667,7.56916666666667,3.80753424657534,Italy,39268.49,3.307534247,4.057534247,3.807534247,5.9
MT,2005,9.656692,5286291.43731143,3.309412,3.35916666666667,6.99166666666667,2.01780821917808,Malta,18883.26,1.017808219,3.017808219,2.017808219,2.5
MT,2006,7.395778,6519895.06076389,3.14733,4.07083333333333,6.96666666666667,2.76027397260274,Malta,19146.44,1.760273973,3.760273973,2.760273973,2.6
MT,2007,4.824104,8025654.50694011,3.2524385,5.09083333333333,7.58,3.83904109589041,Malta,20454.89,2.839041096,4.839041096,3.839041096,0.7
MT,2008,3.969031,8814628.02721811,2.7668595,5.4075,7.98,3.90027322404372,Malta,21428.94,3.005464481,4.775956284,3.900273224,4.7
MT,2009,3.864106,9550302.21629286,2.426325,2.89166666666667,7.25416666666667,1.27876712328767,Malta,21224.23,0.465753425,2.091780822,1.278767123,1.8
MT,2010,5.158867,9458341.91883302,2.548423,2.555,6.775,1,Malta,22874.63,0.25,1.75,1,2
MT,2011,5.083995,9439652.60805488,2.6293085,3.1875,7.0241666666666696,1.24931506849315,Malta,22904.12,0.499315068,1.999315068,1.249315068,2.5
MT,2012,4.42087,9480725.30463731,2.6629075,2.87666666666667,6.88916666666667,0.881147540983607,Malta,23734.03,0.131147541,1.631147541,0.881147541,3.2
MT,2013,4.508798,9786924.66025316,2.439675,2.65666666666667,6.725,0.553424657534246,Malta,24949.62,0,1.140410959,0.553424658,1
MT,2014,6.868193,9216560.36425567,2.009621,2.48666666666667,6.53916666666667,0.163150684931507,Malta,26383.97,-0.086849315,0.523424658,0.163150685,0.8
MT,2015,6.594791,8333652.17608297,2.0704175,1.97166666666667,6.05166666666667,0.05,Malta,28892.4,-0.20630137,0.3,0.05,1.2
MT,2016,4.932481,8350755.56314802,2.048427,1.70333333333333,5.80666666666667,0.0102459016393442,Malta,29835.88,-0.379508197,0.260245902,0.010245902,0.9
MT,2017,4.149119,9162983.34916425,2.067512,1.5775,5.6175,0,Malta,32895.08,-0.4,0.25,0,1.3
MT,2018,5.288572,8885589.19750405,1.981319,1.47833333333333,5.62166666666667,0,Malta,34246.79,-0.4,0.25,0,1.7
MT,2019,4.643559,8973548.39802849,2.036245,1.40166666666667,5.62833333333333,0,Malta,35088.61,-0.42876712300000003,0.25,0,1.5
MT,2020,4.717884,10256557.3339796,1.968922,1.37,5.27666666666667,0,Malta,33683.53,-0.5,0.25,0,0.8
MT,2021,4.135583,9764135.92464924,1.8948535,1.33916666666667,5.21666666666667,0,Malta,38081.37,-0.5,0.25,0,0.7
MT,2022,3.539761,9593656.02247894,2.0524795,1.98833333333333,5.77583333333333,0.578767123287669,Malta,39666.27,0.078767123,0.828767123,0.578767123,6.1
MT,2023,3.062001,10401105.5728884,3.4094435,4.66416666666667,7.56916666666667,3.80753424657534,Malta,42718.8,3.307534247,4.057534247,3.807534247,5.6
NL,2005,8.538664,1769702998.38348,2.12725211111111,3.35916666666667,6.99166666666667,2.01780821917808,Netherlands,32147.3,1.017808219,3.017808219,2.017808219,1.5
NL,2006,5.394136,2179463999.21236,2.07360027777778,4.07083333333333,6.96666666666667,2.76027397260274,Netherlands,33984,1.760273973,3.760273973,2.760273973,1.6
NL,2007,2.621331,2750901236.68105,1.87186427777778,5.09083333333333,7.58,3.83904109589041,Netherlands,36158.73,2.839041096,4.839041096,3.839041096,1.6
NL,2008,1.237942,2795654650.51183,1.93847661111111,5.4075,7.98,3.90027322404372,Netherlands,37568.2,3.005464481,4.775956284,3.900273224,2.2
NL,2009,0.778763,2718452047.9639,1.68048427777778,2.89166666666667,7.25416666666667,1.27876712328767,Netherlands,35641.83,0.465753425,2.091780822,1.278767123,1
NL,2010,2.277581,2521074088.28471,1.74258094444444,2.555,6.775,1,Netherlands,35850.85,0.25,1.75,1,0.9
NL,2011,3.559402,2428347080.87878,1.79169283333333,3.1875,7.0241666666666696,1.24931506849315,Netherlands,36596.3,0.499315068,1.999315068,1.249315068,2.5
NL,2012,3.71066,2386326105.3622,1.85966611111111,2.87666666666667,6.88916666666667,0.881147540983607,Netherlands,36797.05,0.131147541,1.631147541,0.881147541,2.8
NL,2013,4.265252,2364548712.1572,1.7919455,2.65666666666667,6.725,0.553424657534246,Netherlands,37398.71,0,1.140410959,0.553424658,2.6
NL,2014,7.02152,2074427681.16888,1.86519311111111,2.48666666666667,6.53916666666667,0.163150684931507,Netherlands,37320.77,-0.086849315,0.523424658,0.163150685,0.3
NL,2015,7.10048,2068023157.72563,1.90464905555556,1.97166666666667,6.05166666666667,0.05,Netherlands,38386.82,-0.20630137,0.3,0.05,0.2
NL,2016,7.615614,1882138286.71094,1.89261122222222,1.70333333333333,5.80666666666667,0.0102459016393442,Netherlands,38693.77,-0.379508197,0.260245902,0.010245902,0.1
NL,2017,5.920365,2151497620.26143,1.99316461111111,1.5775,5.6175,0,Netherlands,40304.7,-0.4,0.25,0,1.3
NL,2018,5.65726,2106115868.24761,2.24648577777778,1.47833333333333,5.62166666666667,0,Netherlands,41850.78,-0.4,0.25,0,1.6
NL,2019,7.22678,2121109760.82339,2.15784488888889,1.40166666666667,5.62833333333333,0,Netherlands,42620.97,-0.42876712300000003,0.25,0,2.7
NL,2020,6.047277,2280916874.72841,2.07647122222222,1.37,5.27666666666667,0,Netherlands,42166.86,-0.5,0.25,0,1.1
NL,2021,7.17066,2171321798.93832,1.91394405555556,1.33916666666667,5.21666666666667,0,Netherlands,45972.7,-0.5,0.25,0,2.8
NL,2022,9.72342,2044101708.1553,2.72629477777778,1.98833333333333,5.77583333333333,0.578767123287669,Netherlands,50677.44,0.078767123,0.828767123,0.578767123,11.6
NL,2023,8.528225,2146200330.28457,3.33564938888889,4.66416666666667,7.56916666666667,3.80753424657534,Netherlands,53105.69,3.307534247,4.057534247,3.807534247,4.1
PT,2005,5.307062,50552973.6850141,2.05191566666667,3.35916666666667,6.99166666666667,2.01780821917808,Portugal,19338.1,1.017808219,3.017808219,2.017808219,2.1
PT,2006,3.360142,64591303.0957046,2.04381683333333,4.07083333333333,6.96666666666667,2.76027397260274,Portugal,20351.1,1.760273973,3.760273973,2.760273973,3
PT,2007,3.966336,78075563.8695855,2.46809,5.09083333333333,7.58,3.83904109589041,Portugal,21054.23,2.839041096,4.839041096,3.839041096,2.4
PT,2008,5.151887,78778458.1464969,2.4831165,5.4075,7.98,3.90027322404372,Portugal,21445.41,3.005464481,4.775956284,3.900273224,2.7
PT,2009,6.372193,83271393.2719301,2.26881783333333,2.89166666666667,7.25416666666667,1.27876712328767,Portugal,20985.29,0.465753425,2.091780822,1.278767123,-0.9
PT,2010,6.447139,76735451.7328808,2.3362505,2.555,6.775,1,Portugal,21598.17,0.25,1.75,1,1.4
PT,2011,7.994175,75263549.2261908,2.38866516666667,3.1875,7.0241666666666696,1.24931506849315,Portugal,20834.78,0.499315068,1.999315068,1.249315068,3.6
PT,2012,9.576114,73833320.6380861,2.2747025,2.87666666666667,6.88916666666667,0.881147540983607,Portugal,20412.41,0.131147541,1.631147541,0.881147541,2.8
PT,2013,12.163897,74797693.1668997,2.239163,2.65666666666667,6.725,0.553424657534246,Portugal,21043.04,0,1.140410959,0.553424658,0.4
PT,2014,17.901456,64717444.259504,2.3829915,2.48666666666667,6.53916666666667,0.163150684931507,Portugal,21539.27,-0.086849315,0.523424658,0.163150685,-0.2
PT,2015,27.94663,56121516.0686375,2.40278816666667,1.97166666666667,6.05166666666667,0.05,Portugal,22253.38,-0.20630137,0.3,0.05,0.5
PT,2016,44.218977,51742380.5957995,2.23354216666667,1.70333333333333,5.80666666666667,0.0102459016393442,Portugal,22922.71,-0.379508197,0.260245902,0.010245902,0.6
